"eta_true","rep","alg","eta_hat","eta_sd","abs_bias"
0.4,1,"meanfield",0.841902102,0.295900439091154,0.441902102
0.4,1,"fullrank",0.796298229,0.327209303198412,0.396298229
0.4,2,"meanfield",0.4023078364,0.257504347639245,0.00230783639999999
0.4,2,"fullrank",0.3792214809,0.270746749852148,0.0207785191
0.4,3,"meanfield",0.6119321567,0.299592687327098,0.2119321567
0.4,3,"fullrank",2.161122285,0.863545946317199,1.761122285
0.4,4,"meanfield",0.754459719,0.282800862047634,0.354459719
0.4,4,"fullrank",0.740241823,0.31309425006831,0.340241823
0.4,5,"meanfield",0.2877731911,0.242408764154967,0.1122268089
0.4,5,"fullrank",2.082361879,0.878424440826288,1.682361879
1.6,1,"meanfield",1.678498745,0.245583773943994,0.0784987449999999
1.6,1,"fullrank",1.600592052,0.297286315380705,0.00059205200000001
1.6,2,"meanfield",2.18435285,0.258773774452749,0.58435285
1.6,2,"fullrank",2.02853385,0.323749583538448,0.42853385
1.6,3,"meanfield",1.312206681,0.248610360943617,0.287793319
1.6,3,"fullrank",2.133342444,0.818631295018775,0.533342444
1.6,4,"meanfield",1.8934356,0.257837928234533,0.2934356
1.6,4,"fullrank",1.827363293,0.314015327949501,0.227363293
1.6,5,"meanfield",2.51643509,0.278979982686091,0.91643509
1.6,5,"fullrank",2.25211369,0.361491111171409,0.65211369
2.8,1,"meanfield",3.31899182,0.248288173709284,0.51899182
2.8,1,"fullrank",3.06448377,0.376885622407468,0.26448377
2.8,2,"meanfield",2.82790819,0.250727075293653,0.0279081900000002
2.8,2,"fullrank",2.69909543,0.351437996526866,0.10090457
2.8,3,"meanfield",3.65168029,0.253636121921068,0.85168029
2.8,3,"fullrank",3.45953087,0.384220335071982,0.65953087
2.8,4,"meanfield",3.54487271,0.25534382084907,0.74487271
2.8,4,"fullrank",3.32897405,0.363826841177309,0.52897405
2.8,5,"meanfield",2.79340733,0.227044456017273,0.00659266999999986
2.8,5,"fullrank",2.74920668,0.329269505268978,0.0507933199999999
